method,alpha,calib_frac,runs,coverage_mean,coverage_std,abs_coverage_gap_mean,abs_coverage_gap_std,mean_set_size_mean,mean_set_size_std,top1_accuracy_mean,top1_accuracy_std,fail_to_abstain_rate_mean,fail_to_abstain_rate_std,singleton_rate_mean,singleton_rate_std,ece_top1_mean,ece_top1_std
coras,0.2,0.4,5,0.8051292312262113,0.02655068413540695,0.02084924834687934,0.013944932717147161,3.0499723897985604,0.7491655689689711,0.6240905317139733,0.038806049315760476,0.04118663182382504,0.02832319062308304,0.3601182863018402,0.09143592634432125,0.1004792961102392,0.02953157544041632
coras_aps,0.05,0.1,5,0.9584658816107832,0.012588116250784058,0.01241797741916624,0.00743585274695132,10.992275465886571,1.023280411343759,0.5913906041000815,0.03312356310203842,0.0,0.0,0.01639876660667168,0.00940820717011513,0.11695931543585769,0.014866246277936092
coras_aps,0.05,0.25,5,0.9663892177190977,0.009399903106029865,0.016389217719097758,0.009399903106029917,11.045748047335067,0.7507758628110207,0.6076393750678991,0.016973637086663596,0.0,0.0,0.01378587884250836,0.007712539200772367,0.10082628864678198,0.023948763656609057
coras_aps,0.05,0.4,5,0.9642535045469074,0.007282622350495568,0.01425350454690744,0.007282622350495585,10.900515949021097,0.8227091637166977,0.6240905317139733,0.038806049315760476,0.0,0.0,0.01802881945343976,0.00837210520847954,0.1004792961102392,0.02953157544041632
coras_aps,0.1,0.1,5,0.943201165909219,0.017181210664008628,0.04320116590921904,0.01718121066400859,9.19154532676183,0.7512315409930955,0.5913906041000815,0.03312356310203842,0.0,0.0,0.06352557653950662,0.034174257407193424,0.11695931543585769,0.014866246277936092
coras_aps,0.1,0.25,5,0.9461367494002406,0.013593315526236075,0.04613674940024054,0.01359331552623603,9.266518707876049,0.5887675704254894,0.6076393750678991,0.016973637086663596,0.0,0.0,0.05596112609827155,0.024353953596273244,0.10082628864678198,0.023948763656609057
coras_aps,0.1,0.4,5,0.9419661760160224,0.010577133049933785,0.04196617601602236,0.0105771330499338,9.0680518584989,0.4335880816496781,0.6240905317139733,0.038806049315760476,0.0,0.0,0.06743280338406418,0.01400178489914594,0.1004792961102392,0.02953157544041632
coras_aps,0.2,0.1,5,0.9130364248594655,0.013694351155985357,0.11303642485946522,0.013694351155985324,6.960757076540682,0.8743437956508125,0.5913906041000815,0.03312356310203842,0.0,0.0,0.14067641906426998,0.0564763558712372,0.11695931543585769,0.014866246277936092
coras_aps,0.2,0.25,5,0.9182925636678732,0.01814722543141926,0.11829256366787314,0.01814722543141925,6.966893825254092,0.13719628164731,0.6076393750678991,0.016973637086663596,0.00160139133946452,0.0008960394255698879,0.1356372492406682,0.01261681040430616,0.10082628864678198,0.023948763656609057
coras_aps,0.2,0.4,5,0.9129082367300322,0.016190411388002923,0.11290823673003199,0.01619041138800295,6.787474146879968,0.3674139392782399,0.6240905317139733,0.038806049315760476,0.0044184980087134795,0.0016573766299984817,0.15070165624115084,0.01122533134043102,0.1004792961102392,0.02953157544041632
