n,coverage,noncoverage_rate,mean_set_size,median_set_size,p90_set_size,top1_accuracy,singleton_rate,abstain_rate,empty_set_rate,fail_to_abstain_rate,ece_top1,unsafe_n,unsafe_coverage,unsafe_fail_to_abstain_rate,target_coverage,coverage_gap,abs_coverage_gap,method,alpha,tau_or_k,temperature,device,seed,calib_frac,n_calib,result_file
498,0.8293172690763052,0.1706827309236948,6.0,6.0,6.0,0.4919678714859438,0.0,1.0,0.0,0.0,0.2320910411361585,383,0.9060052219321147,0.0,0.8,0.0293172690763051,0.0293172690763051,topk_calibrated,0.2,6,,mps,0,0.25,495,results/sim_complete/seed0_calib0.25/metrics_summary_alpha0.20.csv
498,0.7811244979919679,0.218875502008032,3.6626506024096384,4.0,6.0,0.4919678714859438,0.2289156626506024,0.7710843373493976,0.0,0.0421686746987951,0.2320910411361585,383,0.856396866840731,0.0339425587467362,0.8,-0.0188755020080321,0.0188755020080321,vanilla_conformal,0.2,0.9823032883522915,,mps,0,0.25,495,results/sim_complete/seed0_calib0.25/metrics_summary_alpha0.20.csv
498,0.8734939759036144,0.1265060240963855,6.755020080321285,8.0,10.0,0.4919678714859438,0.142570281124498,0.857429718875502,0.0,0.0040160642570281,0.2320910411361585,383,0.9503916449086162,0.0,0.8,0.0734939759036144,0.0734939759036144,aps_conformal,0.2,0.990125165602009,,mps,0,0.25,495,results/sim_complete/seed0_calib0.25/metrics_summary_alpha0.20.csv
498,0.7991967871485943,0.2008032128514056,3.8694779116465865,4.0,6.0,0.4919678714859438,0.1586345381526104,0.8413654618473896,0.0,0.0200803212851405,0.088658797741479,383,0.8746736292428199,0.0156657963446475,0.8,-0.0008032128514057,0.0008032128514057,temperature_conformal,0.2,0.9498651523085059,1.882809042930603,mps,0,0.25,495,results/sim_complete/seed0_calib0.25/metrics_summary_alpha0.20.csv
498,0.6044176706827309,0.3955823293172691,1.0,1.0,1.0,0.6044176706827309,1.0,0.0,0.0,0.395582329317269,0.1140104180566338,383,0.660574412532637,0.3394255874673629,0.8,-0.1955823293172691,0.1955823293172691,prompt_only_top1,0.2,1,,mps,0,0.25,495,results/sim_complete/seed0_calib0.25/metrics_summary_alpha0.20.csv
498,0.7831325301204819,0.2168674698795181,2.3453815261044175,2.0,4.0,0.6044176706827309,0.4016064257028112,0.5983935742971888,0.0,0.0562248995983935,0.1140104180566338,383,0.8381201044386423,0.0548302872062663,0.8,-0.0168674698795181,0.0168674698795181,coras,0.2,0.9406652147148856,,mps,0,0.25,495,results/sim_complete/seed0_calib0.25/metrics_summary_alpha0.20.csv
498,0.9136546184738956,0.0863453815261043,6.746987951807229,8.0,10.0,0.6044176706827309,0.1506024096385542,0.8493975903614458,0.0,0.002008032128514,0.1140104180566338,383,0.9686684073107048,0.0026109660574412,0.8,0.1136546184738955,0.1136546184738955,coras_aps,0.2,0.9884264536054566,,mps,0,0.25,495,results/sim_complete/seed0_calib0.25/metrics_summary_alpha0.20.csv
498,0.7871485943775101,0.2128514056224899,2.6004016064257027,2.0,5.0,0.6044176706827309,0.3734939759036144,0.6265060240963856,0.0,0.036144578313253,0.1140104180566338,383,0.8485639686684073,0.0365535248041775,0.8,-0.0128514056224899,0.0128514056224899,mondrian_domain,0.2,"{'__global__': 0.9406652147148856, np.str_('target_camera_shift'): 0.9671429458420073, np.str_('target_lighting_shift'): 0.8984984214030871, np.str_('target_occluded'): 0.8803259987281702}",,mps,0,0.25,495,results/sim_complete/seed0_calib0.25/metrics_summary_alpha0.20.csv
483,0.4824016563146998,0.5175983436853002,1.0,1.0,1.0,0.4824016563146998,1.0,0.0,0.0,0.5175983436853002,0.2257364028016659,349,0.5272206303724928,0.4727793696275071,0.95,-0.4675983436853002,0.4675983436853002,top1_singleton,0.05,1,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.05.csv
483,0.9420289855072465,0.0579710144927536,13.0,13.0,13.0,0.4824016563146998,0.0,1.0,0.0,0.0,0.2257364028016659,349,0.9799426934097422,0.0,0.95,-0.0079710144927536,0.0079710144927536,topk_calibrated,0.05,13,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.05.csv
483,0.927536231884058,0.072463768115942,10.428571428571429,12.0,14.0,0.4824016563146998,0.0269151138716356,0.9730848861283644,0.0,0.0,0.2257364028016659,349,0.9770773638968482,0.0,0.95,-0.0224637681159419,0.0224637681159419,vanilla_conformal,0.05,0.9989859417559446,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.05.csv
483,0.937888198757764,0.062111801242236,11.674948240165632,13.0,14.0,0.4824016563146998,0.0,1.0,0.0,0.0,0.2257364028016659,349,0.982808022922636,0.0,0.95,-0.0121118012422359,0.0121118012422359,aps_conformal,0.05,0.9989565668155597,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.05.csv
483,0.9213250517598344,0.0786749482401656,11.296066252587991,12.0,14.0,0.4824016563146998,0.0,1.0,0.0,0.0,0.0646351539948835,349,0.9656160458452722,0.0,0.95,-0.0286749482401655,0.0286749482401655,temperature_conformal,0.05,0.98773599012012,1.8826582431793213,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.05.csv
483,0.6107660455486542,0.3892339544513458,1.0,1.0,1.0,0.6107660455486542,1.0,0.0,0.0,0.3892339544513457,0.1062353815283363,349,0.670487106017192,0.329512893982808,0.95,-0.3392339544513457,0.3392339544513457,prompt_only_top1,0.05,1,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.05.csv
483,0.9544513457556936,0.0455486542443064,9.366459627329192,11.0,13.0,0.6107660455486542,0.0890269151138716,0.9109730848861284,0.0,0.0020703933747412,0.1062353815283363,349,0.982808022922636,0.0028653295128939,0.95,0.0044513457556936,0.0044513457556936,coras,0.05,0.9982203724428769,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.05.csv
483,0.9668737060041408,0.0331262939958592,11.238095238095235,12.0,14.0,0.6107660455486542,0.010351966873706,0.989648033126294,0.0,0.0,0.1062353815283363,349,0.994269340974212,0.0,0.95,0.0168737060041408,0.0168737060041408,coras_aps,0.05,0.9988426169567415,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.05.csv
483,0.9503105590062112,0.0496894409937888,9.370600414078677,11.0,15.0,0.6107660455486542,0.15527950310559,0.84472049689441,0.0,0.0020703933747412,0.1062353815283363,349,0.97134670487106,0.0028653295128939,0.95,0.0003105590062112,0.0003105590062112,mondrian_domain,0.05,"{'__global__': 0.9982203724428769, np.str_('target_camera_shift'): 0.9994409670279785, np.str_('target_lighting_shift'): 0.9952366847495445, np.str_('target_occluded'): 0.9846524062209383}",,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.05.csv
483,0.4824016563146998,0.5175983436853002,1.0,1.0,1.0,0.4824016563146998,1.0,0.0,0.0,0.5175983436853002,0.2257364028016659,349,0.5272206303724928,0.4727793696275071,0.9,-0.4175983436853002,0.4175983436853002,top1_singleton,0.1,1,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.10.csv
483,0.8695652173913043,0.1304347826086956,10.0,10.0,10.0,0.4824016563146998,0.0,1.0,0.0,0.0,0.2257364028016659,349,0.9369627507163324,0.0,0.9,-0.0304347826086957,0.0304347826086957,topk_calibrated,0.1,10,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.10.csv
483,0.8633540372670807,0.1366459627329193,7.968944099378882,9.0,12.0,0.4824016563146998,0.0848861283643892,0.9151138716356108,0.0,0.0041407867494824,0.2257364028016659,349,0.9226361031518624,0.0,0.9,-0.0366459627329193,0.0366459627329193,vanilla_conformal,0.1,0.9972285508013572,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.10.csv
483,0.8799171842650103,0.1200828157349896,8.960662525879917,10.0,12.0,0.4824016563146998,0.0496894409937888,0.9503105590062112,0.0,0.0020703933747412,0.2257364028016659,349,0.9398280802292264,0.0,0.9,-0.0200828157349897,0.0200828157349897,aps_conformal,0.1,0.996229285389833,,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.10.csv
483,0.8633540372670807,0.1366459627329193,7.89648033126294,9.0,11.0,0.4824016563146998,0.0289855072463768,0.9710144927536232,0.0,0.0,0.0646668473711856,349,0.9283667621776504,0.0,0.9,-0.0366459627329193,0.0366459627329193,temperature_conformal,0.1,0.977524978457729,1.883210301399231,mps,0,0.4,781,results/sim_complete/seed0_calib0.40/metrics_summary_alpha0.10.csv
