n,coverage,noncoverage_rate,mean_set_size,median_set_size,p90_set_size,top1_accuracy,singleton_rate,abstain_rate,empty_set_rate,fail_to_abstain_rate,ece_top1,unsafe_n,unsafe_coverage,unsafe_fail_to_abstain_rate,method,alpha,domain,seed,target_coverage,coverage_gap,result_file
93,1.0,0.0,8.634408602150538,10.0,14.0,0.6774193548387096,0.1290322580645161,0.8709677419354839,0.0,0.0,0.1232857505324199,83,1.0,0.0,mondrian_domain,0.05,target_occluded,0,0.95,0.05,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
246,0.5203252032520326,0.4796747967479674,1.0,1.0,1.0,0.5203252032520326,1.0,0.0,0.0,0.4796747967479675,0.2699891478002158,176,0.5909090909090909,0.4090909090909091,top1_singleton,0.1,target_camera_shift,0,0.9,-0.3796747967479674,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
162,0.4135802469135802,0.5864197530864197,1.0,1.0,1.0,0.4135802469135802,1.0,0.0,0.0,0.5864197530864198,0.1677504724633364,117,0.4700854700854701,0.5299145299145299,top1_singleton,0.1,target_lighting_shift,0,0.9,-0.4864197530864197,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
93,0.6559139784946236,0.3440860215053763,1.0,1.0,1.0,0.6559139784946236,1.0,0.0,0.0,0.3440860215053763,0.1554486524808995,83,0.6506024096385542,0.3493975903614458,top1_singleton,0.1,target_occluded,0,0.9,-0.2440860215053764,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
246,0.8739837398373984,0.1260162601626016,8.0,8.0,8.0,0.5203252032520326,0.0,1.0,0.0,0.0,0.2699891478002158,176,0.9715909090909092,0.0,topk_calibrated,0.1,target_camera_shift,0,0.9,-0.0260162601626016,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
162,0.8271604938271605,0.1728395061728395,8.0,8.0,8.0,0.4135802469135802,0.0,1.0,0.0,0.0,0.1677504724633364,117,0.8888888888888888,0.0,topk_calibrated,0.1,target_lighting_shift,0,0.9,-0.0728395061728395,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
93,0.9247311827956988,0.0752688172043011,8.0,8.0,8.0,0.6559139784946236,0.0,1.0,0.0,0.0,0.1554486524808995,83,0.9397590361445785,0.0,topk_calibrated,0.1,target_occluded,0,0.9,0.0247311827956988,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
246,0.8130081300813008,0.1869918699186992,5.223577235772358,5.0,10.0,0.5203252032520326,0.2032520325203252,0.7967479674796748,0.0,0.032520325203252,0.2699891478002158,176,0.9261363636363636,0.0170454545454545,vanilla_conformal,0.1,target_camera_shift,0,0.9,-0.0869918699186992,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
162,0.8518518518518519,0.1481481481481481,7.845679012345679,9.0,11.0,0.4135802469135802,0.037037037037037,0.9629629629629628,0.0,0.0,0.1677504724633364,117,0.905982905982906,0.0,vanilla_conformal,0.1,target_lighting_shift,0,0.9,-0.0481481481481481,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
93,0.946236559139785,0.053763440860215,5.086021505376344,5.0,10.0,0.6559139784946236,0.1935483870967742,0.8064516129032258,0.0,0.0,0.1554486524808995,83,0.9518072289156626,0.0,vanilla_conformal,0.1,target_occluded,0,0.9,0.0462365591397849,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
246,0.8739837398373984,0.1260162601626016,7.398373983739837,8.0,11.0,0.5203252032520326,0.0772357723577235,0.9227642276422764,0.0,0.0040650406504065,0.2699891478002158,176,0.9715909090909092,0.0,aps_conformal,0.1,target_camera_shift,0,0.9,-0.0260162601626016,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.10.csv
