method,alpha,n,token_coverage,mean_set_size,mean_codebook_quant_l2,p90_codebook_quant_l2,top1_action_l2_mean,top1_action_l2_p90,set_oracle_action_l2_mean,set_oracle_action_l2_p90,action_l2_improvement_vs_top1,mean_set_action_diameter,p90_set_action_diameter,empty_set_rate,file,run_dir
coras_aps,0.1,2836,0.9263046544428772,53.03349788434414,0.3338224589824676,0.5652511119842529,0.8385428190231323,1.237737059593201,0.3268017696613401,0.5439763367176056,0.5117410475254185,2.0977597807038824,2.124490737915039,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed1_calib0.10
mondrian_domain,0.1,2836,0.9171368124118476,52.44710860366714,0.3338224589824676,0.5652511119842529,0.8385428190231323,1.237737059593201,0.3280648006959089,0.5472136735916138,0.5104780164908497,2.0881623623653596,2.124490737915039,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed1_calib0.10
prompt_only_top1,0.1,2836,0.043018335684062,1.0,0.3338224589824676,0.5652511119842529,0.8385428190231323,1.237737059593201,0.8385428171867586,1.237737059593201,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed1_calib0.10
temperature_conformal,0.1,2836,0.95098730606488,53.07827926657264,0.3338224589824676,0.5652511119842529,0.823263943195343,1.2565786838531494,0.3224986065152838,0.55001300573349,0.5007653708092878,2.072951050882447,2.124490737915039,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed1_calib0.10
top1_singleton,0.1,2836,0.0849788434414668,1.0,0.3338224589824676,0.5652511119842529,0.823263943195343,1.2565786838531494,0.8232639773245717,1.2565786242485046,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed1_calib0.10
topk_calibrated,0.1,2836,0.9418194640338504,52.0,0.3338224589824676,0.5652511119842529,0.823263943195343,1.2565786838531494,0.3237709618450703,0.5522393882274628,0.4994930154795013,2.0756104239203528,2.124490737915039,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed1_calib0.10
vanilla_conformal,0.1,2836,0.9636812411847672,55.48095909732017,0.3338224589824676,0.5652511119842529,0.823263943195343,1.2565786838531494,0.3215901938192179,0.5494557917118073,0.5016737835053539,2.0817128466534176,2.124490737915039,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed1_calib0.10
aps_conformal,0.1,2538,0.929472025216706,51.19818754925138,0.3516035079956054,0.5962411165237427,0.855253279209137,1.318179965019226,0.3445343025046319,0.5762821197509767,0.5107189954395741,2.0384753511776785,2.124490737915039,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed1_calib0.25
coras,0.1,2538,0.9566587864460204,55.80417651694248,0.3516035079956054,0.5962411165237427,0.8756306767463684,1.2967733144760132,0.342610185835261,0.5723644495010376,0.5330205129913053,2.0964116210821016,2.124490737915039,0.0,prediction_sets_coras_alpha0.10.csv,seed1_calib0.25
coras_aps,0.1,2538,0.9495665878644602,55.08313632781718,0.3516035079956054,0.5962411165237427,0.8756306767463684,1.2967733144760132,0.3429523703236341,0.5760138630867004,0.5326783285029321,2.094670642868941,2.124490737915039,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed1_calib0.25
mondrian_domain,0.1,2538,0.9645390070921984,55.3936170212766,0.3516035079956054,0.5962411165237427,0.8756306767463684,1.2967733144760132,0.34113063609229,0.5680349946022034,0.5345000627342761,2.090753785261871,2.124490737915039,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed1_calib0.25
prompt_only_top1,0.1,2538,0.045311268715524,1.0,0.3516035079956054,0.5962411165237427,0.8756306767463684,1.2967733144760132,0.8756306988265662,1.2967732906341554,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed1_calib0.25
temperature_conformal,0.1,2538,0.9267139479905436,50.53624901497242,0.3516035079956054,0.5962411165237427,0.855253279209137,1.318179965019226,0.344450644590988,0.576828318834305,0.5108026533532181,2.0349952926590653,2.124490737915039,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed1_calib0.25
top1_singleton,0.1,2538,0.0768321513002364,1.0,0.3516035079956054,0.5962411165237427,0.855253279209137,1.318179965019226,0.855253297944206,1.318179988861084,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed1_calib0.25
topk_calibrated,0.1,2538,0.9290780141843972,51.0,0.3516035079956054,0.5962411165237427,0.855253279209137,1.318179965019226,0.3433428826742608,0.5727296352386476,0.5119104152699453,2.04733299034801,2.124490737915039,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed1_calib0.25
vanilla_conformal,0.1,2538,0.9278959810874704,51.26359338061466,0.3516035079956054,0.5962411165237427,0.855253279209137,1.318179965019226,0.3449047835231109,0.5776307702064515,0.5103485144210952,2.0352234788256616,2.124490737915039,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed1_calib0.25
aps_conformal,0.1,2863,0.9137268599371288,49.63395040167656,0.3290784955024719,0.5555260181427002,0.7952536940574646,1.2395658493041992,0.3260789957044531,0.5584124445915224,0.4691746962476955,2.049916193529396,2.124490737915039,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed1_calib0.40
coras,0.1,2863,0.9346838980090814,53.9437652811736,0.3290784955024719,0.5555260181427002,0.8038091063499451,1.2337347269058228,0.3250318556058523,0.5631757497787476,0.478777239837567,2.0763447748128243,2.124490737915039,0.0,prediction_sets_coras_alpha0.10.csv,seed1_calib0.40
coras_aps,0.1,2863,0.927698218651764,52.98078938176738,0.3290784955024719,0.5555260181427002,0.8038091063499451,1.2337347269058228,0.3259086555759369,0.5656458616256714,0.4779004398674824,2.074939667408257,2.124490737915039,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed1_calib0.40
mondrian_domain,0.1,2863,0.944463849109326,54.80649668180231,0.3290784955024719,0.5555260181427002,0.8038091063499451,1.2337347269058228,0.3234179817670986,0.5538828015327455,0.4803911136763207,2.086710588897894,2.124490737915039,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed1_calib0.40
prompt_only_top1,0.1,2863,0.0569332867621376,1.0,0.3290784955024719,0.5555260181427002,0.8038091063499451,1.2337347269058228,0.8038090954434193,1.233734655380249,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed1_calib0.40
temperature_conformal,0.1,2863,0.91023402025847,48.803353126091515,0.3290784955024719,0.5555260181427002,0.7952536940574646,1.2395658493041992,0.3259902619101286,0.5555748224258423,0.4692634300420199,2.048101926366225,2.124490737915039,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed1_calib0.40
